BestLapTime,LapsComplete,Status,PositionStart,DriverID,TeamID,TrackID,TrackType,PositionFinish,,,
01:11.9,85,0,6,4215,11,3,1,12,,,
01:12.3,85,0,18,4915,3,3,1,13,,,
01:12.6,85,0,9,4587,6,3,1,14,,,
01:12.3,85,0,22,4218,7,3,1,15,,,
01:12.3,85,0,14,4938,3,3,1,16,,,
01:12.5,85,0,5,4940,10,3,1,17,,,
01:12.5,85,0,27,4981,9,3,1,18,,,
01:12.8,85,0,19,4920,6,3,1,19,,,
01:12.9,85,0,11,4897,1,3,1,20,,,
01:12.4,85,0,17,4613,7,3,1,21,,,
01:12.6,79,0,23,4939,9,3,1,22,,,
01:12.7,68,1,26,4636,1,3,1,23,,,
01:12.9,67,1,25,4644,5,3,1,24,,,
01:11.9,64,1,13,4511,2,3,1,25,,,
01:13.3,6,1,20,4905,2,3,1,26,,,
,0,1,10,4944,4,3,1,27,,,
01:09.0,90,0,1,4931,4,1,1,1,,,
01:09.5,90,0,7,4938,3,1,1,2,,,
01:09.4,90,0,2,4932,11,1,1,3,,,
01:09.4,90,0,5,4614,5,1,1,4,,,
01:09.6,90,0,4,3667,11,1,1,5,,,
01:09.5,90,0,8,4559,3,1,1,6,,,
01:09.5,90,0,3,4511,2,1,1,7,,,
01:09.6,90,0,15,4587,6,1,1,8,,,
01:09.4,90,0,6,4915,3,1,1,9,,,
01:09.2,90,0,9,4215,11,1,1,10,,,
01:09.5,90,0,18,4623,2,1,1,11,,,
01:09.6,90,0,26,3628,4,1,1,12,,,
01:09.8,90,0,14,4588,8,1,1,13,,,
01:09.6,90,0,21,3668,10,1,1,14,,,
01:10.0,90,0,17,4920,6,1,1,15,,,
01:09.7,90,0,20,4636,1,1,1,16,,,
01:09.6,89,0,11,4948,8,1,1,17,,,
01:09.2,89,0,13,4897,1,1,1,18,,,
01:09.9,89,0,19,4218,7,1,1,19,,,
01:09.5,89,0,23,4905,2,1,1,20,,,
01:09.8,89,0,10,4944,4,1,1,21,,,
01:09.9,89,0,22,4613,7,1,1,22,,,
01:09.6,89,0,16,4939,9,1,1,23,,,
01:10.1,89,0,27,4940,10,1,1,24,,,
01:10.0,89,0,24,4981,9,1,1,25,,,
01:09.9,88,0,12,4949,10,1,1,26,,,
01:10.5,88,0,25,4644,5,1,1,27,,,
01:08.5,90,0,1,4623,2,6,2,1,,,
01:08.5,90,0,3,4931,4,6,2,2,,,
01:08.7,90,0,12,4938,3,6,2,3,,,
01:08.9,90,0,4,4588,8,6,2,4,,,
01:08.6,90,0,13,3667,11,6,2,5,,,
01:08.8,90,0,6,4932,11,6,2,6,,,
01:08.4,90,0,2,4511,2,6,2,7,,,
01:08.4,90,0,14,3628,4,6,2,8,,,
01:08.8,90,0,19,4613,7,6,2,9,,,
01:08.1,90,0,17,4944,4,6,2,10,,,
01:08.7,90,0,27,4897,1,6,2,11,,,
01:08.8,90,0,5,4905,2,6,2,12,,,
01:09.0,90,0,9,4559,3,6,2,13,,,
01:08.7,90,0,7,4948,8,6,2,14,,,
01:09.0,90,0,8,4587,6,6,2,15,,,
01:08.8,90,0,20,4949,10,6,2,16,,,
01:08.7,90,0,10,4636,1,6,2,17,,,
01:08.7,90,0,24,4981,9,6,2,18,,,
01:09.0,90,0,25,4614,5,6,2,19,,,
01:08.6,90,0,11,4915,3,6,2,20,,,
01:09.3,89,0,22,4939,9,6,2,21,,,
01:09.2,89,0,16,3668,10,6,2,22,,,
01:09.3,89,0,18,4920,6,6,2,23,,,
01:08.8,89,0,23,4940,10,6,2,24,,,
01:09.5,88,0,21,4218,7,6,2,25,,,
01:09.8,88,0,26,4644,5,6,2,26,,,
01:08.3,88,0,15,4215,11,6,2,27,,,
01:43.9,65,0,3,4931,4,16,1,1,,,
01:43.4,65,0,1,4559,3,16,1,2,,,
01:43.8,65,0,2,4938,3,16,1,3,,,
01:44.8,65,0,4,4511,2,16,1,4,,,
01:43.6,65,0,9,4588,8,16,1,5,,,
01:44.2,65,0,21,3667,11,16,1,6,,,
01:45.2,65,0,7,4948,8,16,1,7,,,
01:44.8,65,0,8,4623,2,16,1,8,,,
01:44.8,65,0,6,4587,6,16,1,9,,,
01:44.0,65,0,11,3628,4,16,1,10,,,
01:45.0,65,0,18,3668,10,16,1,11,,,
01:45.1,65,0,19,4920,6,16,1,12,,,
01:44.3,65,0,17,4215,11,16,1,13,,,
01:45.2,65,0,14,4897,1,16,1,14,,,
01:44.9,65,0,20,4944,4,16,1,15,,,
01:45.7,65,0,15,4218,7,16,1,16,,,
01:44.6,65,0,13,4614,5,16,1,17,,,
01:45.3,65,0,12,4636,1,16,1,18,,,
01:44.5,65,0,16,4915,3,16,1,19,,,
01:43.6,64,0,26,4940,10,16,1,20,,,
01:45.3,64,0,5,4905,2,16,1,21,,,
01:45.4,64,0,27,4981,9,16,1,22,,,
01:45.2,64,0,24,4613,7,16,1,23,,,
01:44.8,64,0,10,4949,10,16,1,24,,,
01:45.0,64,0,23,4644,5,16,1,25,,,
01:44.5,64,0,22,4939,9,16,1,26,,,
01:43.9,53,1,25,4932,11,16,1,27,,,
01:02.1,100,0,8,4931,4,14,2,1,,,
01:02.3,100,0,6,3628,4,14,2,2,,,
01:01.7,100,0,10,4215,11,14,2,3,,,
01:02.0,100,0,1,4932,11,14,2,4,,,
01:02.1,100,0,9,4623,2,14,2,5,,,
01:02.4,100,0,7,4905,2,14,2,6,,,
01:01.9,100,0,3,4588,8,14,2,7,,,
01:02.1,100,0,5,4938,3,14,2,8,,,
01:01.9,100,0,12,4614,5,14,2,9,,,
01:02.5,100,0,20,4587,6,14,2,10,,,
01:02.1,100,0,23,4559,3,14,2,11,,,
01:02.4,100,0,21,3668,10,14,2,12,,,
01:02.3,100,0,17,4636,1,14,2,13,,,
01:02.7,100,0,19,4897,1,14,2,14,,,
01:02.7,100,0,24,4920,6,14,2,15,,,
01:02.5,100,0,2,4511,2,14,2,16,,,
01:02.8,100,0,22,4218,7,14,2,17,,,
01:02.6,100,0,15,4944,4,14,2,18,,,
01:02.5,100,0,27,4939,9,14,2,19,,,
01:02.8,100,0,18,4981,9,14,2,20,,,
01:02.7,99,0,26,4613,7,14,2,21,,,
01:02.1,99,0,14,4940,10,14,2,22,,,
01:03.3,99,0,25,4644,5,14,2,23,,,
01:02.2,46,1,4,4948,8,14,2,24,,,
,0,1,11,4915,3,14,2,25,,,
,0,1,13,3667,11,14,2,26,,,
,0,1,16,4949,10,14,2,27,,,
00:24.6,206,0,9,4511,2,9,0,1,,,
00:24.3,206,0,7,4559,3,9,0,2,,,
00:24.5,206,0,2,4215,11,9,0,3,,,
00:24.6,206,0,1,4623,2,9,0,4,,,
00:24.7,206,0,18,4932,11,9,0,5,,,
00:24.4,206,0,14,4897,1,9,0,6,,,
00:25.1,206,0,12,4948,4,9,0,7,,,
00:24.5,206,0,8,9999,4,9,0,8,,,
00:24.7,206,0,5,4636,8,9,0,9,,,
00:24.9,205,0,6,4218,7,9,0,10,,,
00:24.9,205,0,24,4931,4,9,0,11,,,
00:24.6,205,0,10,4614,6,9,0,12,,,
00:25.3,205,0,20,9999,5,9,0,13,,,
00:24.7,205,0,25,4920,6,9,0,14,,,
00:24.9,205,0,26,4587,3,9,0,15,,,
00:24.8,204,0,13,9999,7,9,0,16,,,
00:24.7,204,0,11,3628,4,9,0,17,,,
00:25.2,204,0,27,4915,3,9,0,18,,,
00:25.2,204,0,21,4938,10,9,0,19,,,
00:24.9,204,0,23,4613,1,9,0,20,,,
00:25.1,204,0,16,9999,10,9,0,21,,,
00:25.1,202,0,17,4944,4,9,0,22,,,
00:25.1,202,0,19,3668,10,9,0,23,,,
00:25.0,198,0,4,3667,11,9,0,24,,,
00:24.9,137,1,15,4905,2,9,0,25,,,
00:25.5,85,1,22,9999,5,9,0,26,,,
00:24.5,55,1,3,4588,8,9,0,27,,,
00:23.6,250,0,2,4932,11,7,0,1,,,
00:23.5,250,0,17,3628,4,7,0,2,,,
00:24.1,250,0,18,4511,2,7,0,3,,,
00:24.2,250,0,12,4897,1,7,0,4,,,
00:24.2,250,0,16,4905,2,7,0,5,,,
00:24.0,250,0,6,4587,3,7,0,6,,,
00:24.3,250,0,15,4614,6,7,0,7,,,
00:24.2,250,0,19,4623,2,7,0,8,,,
00:24.4,250,0,14,9999,7,7,0,9,,,
00:23.7,250,0,4,3667,11,7,0,10,,,
00:24.1,249,0,8,4588,8,7,0,11,,,
00:24.3,248,0,25,4938,10,7,0,12,,,
00:24.7,248,0,24,4944,4,7,0,13,,,
00:23.7,247,0,13,9999,5,7,0,14,,,
00:24.7,246,0,22,9999,5,7,0,15,,,
00:24.2,243,0,23,4920,6,7,0,16,,,
00:23.9,230,1,20,4218,7,7,0,17,,,
00:24.7,221,1,21,4613,1,7,0,18,,,
00:24.2,221,0,10,4931,4,7,0,19,,,
00:23.8,215,1,5,9999,4,7,0,20,,,
00:25.4,181,1,27,9999,10,7,0,21,,,
00:23.8,126,1,9,4636,8,7,0,22,,,
00:24.6,123,1,26,3668,10,7,0,23,,,
00:24.2,87,1,7,4559,3,7,0,24,,,
00:24.6,24,1,11,4915,3,7,0,25,,,
00:41.5,6,1,3,4948,4,7,0,26,,,
00:42.5,5,1,1,4215,11,7,0,27,,,
00:23.8,250,0,6,4559,3,7,0,1,,,
00:24.2,250,0,5,3667,11,7,0,2,,,
00:24.3,250,0,25,4218,7,7,0,3,,,
00:24.1,250,0,19,4897,1,7,0,4,,,
00:24.5,250,0,12,4931,4,7,0,5,,,
00:24.0,250,0,4,9999,4,7,0,6,,,
00:24.5,250,0,3,4587,3,7,0,7,,,
00:23.6,250,0,1,4932,11,7,0,8,,,
00:24.8,250,0,26,4938,10,7,0,9,,,
00:24.4,250,0,17,3628,4,7,0,10,,,
00:24.5,250,0,23,4920,6,7,0,11,,,
00:24.7,250,0,15,4623,2,7,0,12,,,
00:24.5,250,0,8,4588,8,7,0,13,,,
00:24.3,249,0,13,4614,6,7,0,14,,,
00:24.0,249,0,2,4636,8,7,0,15,,,
00:24.7,249,0,14,9999,5,7,0,16,,,
00:24.5,249,0,24,4915,3,7,0,17,,,
00:25.2,248,0,27,9999,10,7,0,18,,,
00:24.0,248,0,18,9999,5,7,0,19,,,
00:24.9,248,0,21,3668,10,7,0,20,,,
00:24.1,247,0,16,4948,4,7,0,21,,,
00:24.0,246,0,10,4511,2,7,0,22,,,
00:24.8,244,0,20,4613,1,7,0,23,,,
00:24.8,243,0,9,9999,7,7,0,24,,,
00:25.1,238,0,22,4944,4,7,0,25,,,
00:24.8,146,1,11,4215,11,7,0,26,,,
00:24.5,146,1,7,4905,2,7,0,27,,,
01:00.2,110,0,2,3667,11,11,1,1,,,
01:00.2,110,0,3,4931,4,11,1,2,,,
01:00.1,110,0,5,4215,11,11,1,3,,,
01:00.4,110,0,8,4511,2,11,1,4,,,
01:00.3,110,0,7,4948,4,11,1,5,,,
01:00.5,110,0,10,4905,2,11,1,6,,,
01:00.3,110,0,20,4932,11,11,1,7,,,
01:00.4,110,0,1,4897,1,11,1,8,,,
01:00.2,110,0,12,3668,10,11,1,9,,,
01:00.2,110,0,11,4623,2,11,1,10,,,
01:00.3,110,0,14,4614,6,11,1,11,,,
01:00.4,110,0,17,4587,3,11,1,12,,,
01:00.5,110,0,4,4938,10,11,1,13,,,
01:00.4,110,0,18,4588,8,11,1,14,,,
01:00.5,110,0,22,4559,3,11,1,15,,,
01:00.5,110,0,28,4944,4,11,1,16,,,
01:00.5,109,0,19,9999,5,11,1,17,,,
01:00.6,109,0,24,4613,1,11,1,18,,,
01:00.7,109,0,15,9999,10,11,1,19,,,
00:59.7,109,0,25,4636,8,11,1,20,,,
01:00.2,109,0,23,4915,3,11,1,21,,,
01:00.9,109,0,26,4218,7,11,1,22,,,
01:00.5,109,0,21,9999,4,11,1,23,,,
